context_id	word	gold_sense_id	predict_sense_id	positions	context
1	замок	1		0-5, 339-344	замок владимир мономах любекий многочисленный укреплять монастырь также являться замок таковой крепость ранний европейский замок строить преимущественно дерево опоясываться деревянный ограда палисад уже тогда замок стать появляться ров пример замок мочь служить вышгородский замок киевский князь каменный замковый строительство распространиться западный центральный европа век главный часть средневековый замок являться центральный башня выполнять функция цитадель оборонительный функция донжон являться непосредственный жилискать феодал также главный башня
2	замок	1		11-16, 17-22, 188-193	шильонский замок замокнуть шильйон известный русскоязычный литература шильо́нский за́мок расположенный швейцарский ривьер кромка женевский озеро километр город монтр замок представлять комплекс элемент разный время постройка
3	замок	1		299-304	проведение архитектурно археологический работа эстонский реставрационный управление руководство архитектор потти искусствовед быть кальюнди научный консультация доктор исторический наука подобный рапопорт год музей называться государственный музей выборгский замок
4	замок	1		111-116	топить литр белокур легенда завещание мавр новый юсупов день рождение янушкевич янтарный замок
5	замок	1		134-139, 262-267	великий князь литовский гедимин успешный охота обнаруживать прекрасный место недалеко город кернава решать воздвигнуть замок переносить сюда столица второй половина век здесь старый трок сянейь тракай уже стоять каменный замок правило сын гедимин трокский князь кейстать год замок рождаться витовт год кейстать переносить столица старый трок
6	замок	1		42-47, 281-286	бой начало век высокий замок захватывать сильно разрушать шведский войска командование карть xii крепость терять стратегический значение второй половина башня стена постепенно разбирать строительный материал век замок разобирать возвышенность укреплять насадить склон дерево организовывать парк старый замок сохраняться фрагмент южный каменный стена бойница ограждать въезд территория замок памятник градостроительство архитектура украинский сср
7	замок	1		260-265, 495-500	колодец хозяйственный помещение склад продовольствие др часто донжон располагаться крупный парадный зал прием элемент донжон можно находить замковый архитектура западный центральный европа кавказ средний азия тысяча подобный обычно замок иметь небольшой внутренний двор окружать массивный зубчатый стена башня хорошо укреплять ворота далее следовать внешний двор включать хозяйственный постройка также замковый сад огород замок окружать второй ряд стена ров
8	замок	1		197-202, 205-210, 415-420	сын гедимин трокский князь кейстать год замок рождаться витовт год кейстать переносить столица старый трок защищать озеро новый трок где строить полуостровный замок замок старый трок год разрушать больше восстанавливаться участок земля остатки замок витовть год дарить монах бенедиктинец монастырь стоять старый замчище трокский полуостровная замок
9	замок	1		28-33, 196-201, 257-262, 417-422	кэмпбелл отдавать замок обмен восьмивесельный лодка верейка сталкер вернуться стюарт год поражение битва данкелд сюарт обязать вновь передавать замок кэмпбелл стюарт отказываться кэмпбелла осаждать замок течение месяц наконец захватывать кэмпбелла жить замок примерно город потом перебираться остров большой земля замок использовать склад год
10	замок	1		0-5, 14-19, 175-180	замок сталкер замок строить год первоначально представлять небольшой укрепление принадлежать клан макдугал год право владение земля включая замок переходить стюарт считать сэр
11	замок	1		0-5, 16-21, 179-184, 291-296, 468-473	замок данноттарин замокнуть данноттарин расположенный восточный побережье шотландия миля юг стонхейвена миля абердина ранний история утес стоять замок специально создавать данноттарин становиться самый неприступный крепость шотландия замок можно попадать способ хорошо укрыть расселина скала главный вход узкий крутой тропинка вести пещера потайный вход замок
12	замок	1		0-5, 176-181, 292-297	замок выстраивать дерево место прусский городище тувангсте протяжение век неоднократно подвергать нападение восстать прусс литовский отряд замок основывать январь год деревянный строение год поздно начинаться возведение кирпичный замок замок служить резиденция маршал тевтонский орден центр сбор рыцарский поход великий княжество литовский век год замок находиться резиденция великий магистр орден строительство продолжаться век
13	замок	1		14-19, 22-27, 232-237	полуостровный замок замок старый трок год разрушать больше восстанавливаться участок земля остатки замок витовть год дарить монах бенедиктинец монастырь стоять старый замчище трокский полуостровный замок строить кейстувать 1-е год берег озеро галев трокский озеро разрушить время междоусобица год вновь отстраивать конец правление витовта
14	замок	1		252-257	башня долгий время считать самый высокий донжоный скандинавие толщина крепостной стена составлять метр толщина стена башня метр сверху стена завершать зубец периметр идти навесный деревянный галерея боевой ход выборгский замок становиться центр выборгский лен надежный форпосвать распространение шведский влияние земля карельский перешеек оставаться неприступный вплоть год новгородскать республика желать мириться потеря карельский земля уже год дружина новгород великий
15	замок	1		11-16, 17-22, 188-193, 274-279	шильонский замок замокнуть шильйон известный русскоязычный литература шильо́нский за́мок расположенный швейцарский ривьер кромка женевский озеро километр город монтр замок представлять комплекс элемент разный время постройка шильонский замок стоять скала незначительно возвышаться поверхность озеро соединать берег мост сочетание природный условие особенность постройка позволять замок контролировать стратегически важный дорога пролегавать озеро
16	замок	1		94-99, 226-231	каменный стена башня бастион земляной вал ров наполнять вода старый замок постепенно превращаться тыловой позиция крепость новый этап серьезный строительный работа начинаться год замок посещать шведский король густавать ваза башня здание вновь перестраиваться береговой линия дополнительно укрепляться деревянный шканец больверка год главный башня надстраиваться этаж верхний часть получать восьмиграть форма прорезать трехметровый
17	замок	1		124-129, 233-238	год шотландский король як vi восходить английский трон столетие война граница наступать мир конец век замок становиться популярный туристический достопримечательность город передавать государственный опека замок открывать протяжение год апрель сентябрь ежедневно октябрь март ежедневно
18	замок	1		11-16, 19-24, 82-87, 275-280	стерлинг замок замок терлинчь находиться шотландия город стерлинг замок стерлинг являться крупный важный замок шотландия исторический так архитектурный точка зрение располагаться вершина замковый холм сторона замок окружать крутой обрыв создавать сильный оборонительный позиция большинство главный строение замок
19	замок	1		59-64, 285-290	попытка реставрировать разрушиться год тракайский замок предпринимать еще конец век однако основной работа столько реставрация сколько консервация приходиться начало век год археолог шукевич брать городской магистрат трокский островной замок аренда год обязоваться охранять дальнейший разрушение год уход замок становиться постоянный руина остров измерить решать консервировать замок объявлять памятник основной внимание уделять островный
